Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
LINCOLN,'CONTINENTAL AWD',FULL-SIZE,2.7,6.0,AS6,X,14.0,9.5,12.0,24.0,281
MERCEDES-BENZ,'AMG SLC 43',TWO-SEATER,3.0,6.0,A9,Z,11.6,8.2,10.1,28.0,236
VOLVO,'V60 T5 AWD','STATION WAGON - SMALL',2.5,5.0,AS6,X,11.6,8.2,10.1,28.0,232
'ALFA ROMEO',4C,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34.0,197
RAM,'1500 (MDS)','PICKUP TRUCK - STANDARD',5.7,8.0,A8,X,15.7,10.9,13.6,21.0,313
BUICK,'LACROSSE AWD',MID-SIZE,3.6,6.0,AS8,X,11.6,8.1,10.0,28.0,235
TOYOTA,'RAV4 AWD',,2.5,4.0,AS8,X,9.2,7.1,8.2,34.0,194
TOYOTA,HIGHLANDER,'SUV - SMALL',3.5,6.0,AS6,X,12.5,9.3,11.1,25.0,260
VOLKSWAGEN,TIGUAN,'SUV - SMALL',2.0,4.0,M6,Z,13.0,9.0,11.2,25.0,259
AUDI,'A7 QUATTRO',MID-SIZE,3.0,6.0,AS8,Z,11.5,8.2,10.0,28.0,235
MAZDA,'CX-5 4WD (Cylinder Deactivation)','SUV - SMALL',2.5,4.0,AS6,X,9.8,7.9,9.0,31.0,208
FORD,ESCAPE,'SUV - SMALL',2.0,4.0,AS6,X,10.9,8.0,,29.0,221
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8.0,AS7,Z,20.0,16.6,18.5,15.0,426
DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A5,X,13.2,8.7,11.2,25.0,258
BMW,'435i xDRIVE COUPE',COMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28.0,238
KIA,RONDO,'STATION WAGON - MID-SIZE',2.0,4.0,M6,X,10.8,7.4,9.3,30.0,214
MERCEDES-BENZ,'B 250','STATION WAGON - SMALL',2.0,4.0,AS7,Z,9.2,6.6,8.0,35.0,184
VOLVO,'XC70 T5','SUV - SMALL',2.0,4.0,AS8,X,10.3,7.6,9.1,31.0,213
SUBARU,'IMPREZA WAGON AWD','STATION WAGON - SMALL',2.5,4.0,M5,Z,12.6,9.5,11.2,25.0,258
INFINITI,'Q50S AWD',MID-SIZE,3.0,6.0,AS7,Z,12.9,9.0,11.1,25.0,262
BMW,'330i xDRIVE GRAN TURISMO',FULL-SIZE,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208
MERCEDES-BENZ,'AMG GT ROADSTER',TWO-SEATER,4.0,8.0,AM7,Z,14.7,11.0,13.0,22.0,304
TOYOTA,,MINIVAN,3.5,6.0,AS8,X,13.4,9.6,11.7,24.0,274
MAZDA,MX-5,TWO-SEATER,2.0,4.0,AS6,Z,11.5,8.5,10.1,28.0,232
CADILLAC,ATS-V,COMPACT,3.6,6.0,M6,Z,14.2,10.2,12.4,23.0,289
HONDA,'HR-V AWD','STATION WAGON - SMALL',1.8,4.0,AV,X,8.9,7.5,8.2,34.0,194
FORD,FUSION,MID-SIZE,2.5,4.0,AS6,X,10.5,6.9,8.9,32.0,209
RAM,'1500 Classic','PICKUP TRUCK - STANDARD',5.7,8.0,A8,X,15.7,11.0,13.6,21.0,319
NISSAN,370Z,TWO-SEATER,3.7,6.0,M6,Z,13.3,9.3,11.5,25.0,264
PORSCHE,Macan,'SUV - SMALL',2.0,4.0,,Z,12.2,10.2,11.3,25.0,264
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4.0,M5,X,11.3,9.5,10.5,27.0,242
ACURA,'TLX SH-AWD A-SPEC',COMPACT,3.5,6.0,,Z,12.0,8.2,10.3,27.0,240
GMC,'YUKON DENALI XL AWD','SUV - STANDARD',6.2,8.0,A6,E,25.7,17.8,22.1,13.0,354
MITSUBISHI,RVR,'SUV - SMALL',2.0,4.0,AV6,X,9.7,7.8,8.8,32.0,204
PORSCHE,'PANAMERA 4S EXECUTIVE',FULL-SIZE,3.0,6.0,AM7,Z,13.7,8.9,11.5,25.0,264
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6.0,A6,E,18.8,13.1,16.2,17.0,259
BENTLEY,'CONTINENTAL GT CONVERTIBLE',SUBCOMPACT,4.0,8.0,AS8,Z,17.7,10.3,14.4,20.0,337
ACURA,TLX,COMPACT,3.5,6.0,AS9,Z,11.2,6.9,9.2,31.0,212
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,19.0,12.5,16.1,18.0,375
SCION,FR-S,MINICOMPACT,2.0,4.0,M6,Z,10.9,7.9,9.6,29.0,224
ROLLS-ROYCE,'PHANTOM COUPE',COMPACT,6.7,12.0,A8,Z,20.7,12.8,17.1,17.0,393
ROLLS-ROYCE,'PHANTOM COUPE',COMPACT,,12.0,A8,Z,20.7,12.8,17.1,17.0,393
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.5,3.0,M6,Z,8.4,6.3,7.4,38.0,174
,'Cooper 5 Door',SUBCOMPACT,1.5,3.0,M6,Z,8.4,6.3,7.5,38.0,175
LEXUS,'GS 350 AWD',MID-SIZE,3.5,6.0,AS6,Z,12.3,9.1,10.9,26.0,254
DODGE,'Journey FFV','SUV - SMALL',3.6,6.0,A6,E,19.1,13.2,16.4,17.0,274
RAM,'1500 Classic','PICKUP TRUCK - STANDARD',5.7,8.0,A8,X,15.7,11.0,13.6,21.0,319
PORSCHE,CAYMAN,TWO-SEATER,2.7,6.0,M6,Z,11.5,7.9,9.9,29.0,232
BMW,'M760Li xDrive',FULL-SIZE,6.6,12.0,AS8,Z,17.7,11.9,15.1,19.0,355
MERCEDES-BENZ,'AMG GLE 43 4MATIC','SUV - STANDARD',3.0,6.0,A9,Z,13.6,10.1,12.0,24.0,281
MAZDA,'CX-5 4WD','SUV - SMALL',2.0,4.0,AS6,X,9.3,7.6,8.5,33.0,196
PORSCHE,'911 CARRERA 4',MINICOMPACT,3.4,6.0,M7,Z,12.3,,10.7,26.0,251
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2.0,4.0,M6,D,7.6,5.5,6.7,42.0,179
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6.0,A6,E,19.1,13.2,16.4,17.0,274
INFINITI,'Q50 HYBRID AWD',COMPACT,3.5,6.0,AS7,Z,,7.7,8.5,33.0,200
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.4,4.0,AS6,X,9.0,6.8,8.0,35.0,188
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.9,11.4,25.0,266
MERCEDES-BENZ,'E 400 COUPE',SUBCOMPACT,3.0,6.0,AS7,Z,11.8,8.4,10.2,28.0,239
VOLKSWAGEN,PASSAT,MID-SIZE,3.6,6.0,AM6,X,12.2,8.5,10.6,27.0,246
BENTLEY,'CONTINENTAL GT',COMPACT,6.0,12.0,AS8,Z,18.9,11.2,15.4,18.0,360
GMC,'SIERRA 4WD FFV','PICKUP TRUCK - STANDARD',5.3,,A6,E,,14.4,17.8,16.0,295
BMW,'X1 xDRIVE28i','SUV - SMALL',2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AS8,Z,11.3,8.0,9.8,,225
BMW,'328d xDRIVE',COMPACT,2.0,4.0,A8,D,,5.5,6.7,42.0,181
FORD,FUSION,MID-SIZE,2.0,4.0,AS6,X,10.5,7.1,9.0,31.0,207
LINCOLN,'CONTINENTAL AWD',FULL-SIZE,3.0,6.0,AS6,X,14.4,9.7,12.3,23.0,288
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2.0,4.0,AS8,Z,11.3,8.0,9.8,29.0,230
DODGE,'CHARGER AWD',FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26.0,251
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',4.3,6.0,A6,X,13.5,10.0,11.9,24.0,280
FORD,FLEX,'SUV - STANDARD',3.5,6.0,AS6,X,14.7,10.2,12.7,22.0,298
AUDI,Q3,COMPACT,2.0,4.0,AS6,Z,11.6,,10.1,28.0,236
PORSCHE,'Macan S','SUV - SMALL',3.0,6.0,AM7,Z,12.9,10.2,11.7,24.0,272
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',3.0,6.0,AS6,Z,11.5,8.5,10.2,28.0,235
LEXUS,'RC F',SUBCOMPACT,5.0,8.0,AS8,Z,14.4,9.6,12.2,23.0,285
MERCEDES-BENZ,'SLS AMG ROADSTER',TWO-SEATER,6.2,8.0,AS7,Z,18.2,12.6,15.7,18.0,361
MERCEDES-BENZ,'AMG CLA 45 4MATIC',COMPACT,2.0,4.0,AM7,Z,10.3,7.9,9.2,31.0,217
TOYOTA,'TUNDRA 4WD','PICKUP TRUCK - STANDARD',4.6,8.0,AS6,X,16.8,12.6,14.9,19.0,349
INFINITI,Q70,MID-SIZE,3.7,6.0,AS7,Z,12.8,8.9,11.0,26.0,253
GMC,'Sierra 4WD','PICKUP TRUCK - STANDARD',,6.0,A6,X,15.8,11.9,14.0,20.0,329
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,AS8,Z,15.5,9.2,12.7,22.0,297
,'ML 350 BLUETEC 4MATIC','SUV - STANDARD',3.0,6.0,AS7,D,11.8,8.5,10.3,27.0,278
AUDI,'A5 QUATTRO',SUBCOMPACT,2.0,4.0,AM7,Z,10.0,7.0,8.7,32.0,203
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4.0,8.0,AM7,Z,14.5,10.8,12.8,22.0,302
PORSCHE,'PANAMERA TURBO S EXECUTIVE',FULL-SIZE,4.8,8.0,AM7,Z,15.4,9.8,,22.0,297
NISSAN,'Qashqai AWD','STATION WAGON - SMALL',2.0,4.0,AV8,X,9.0,7.7,8.4,34.0,198
TOYOTA,'Highlander AWD LE','SUV - STANDARD',3.5,6.0,AS8,X,11.7,8.8,10.4,27.0,242
DODGE,'CHARGER AWD FFV',FULL-SIZE,3.6,6.0,A8,E,17.6,12.0,15.0,19.0,248
BMW,'435i xDRIVE COUPE',COMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28.0,238
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8.0,A6,X,15.2,10.8,13.2,,310
TOYOTA,,'SUV - STANDARD',,6.0,AV6,X,8.0,8.6,8.3,34.0,191
FORD,'Expedition 4X4','SUV - STANDARD',3.5,6.0,AS10,X,14.1,10.6,12.5,23.0,293
RAM,'1500 4X4 (MDS)','PICKUP TRUCK - STANDARD',5.7,8.0,A6,X,17.7,12.7,15.4,18.0,362
NISSAN,'PATHFINDER 4WD','SUV - SMALL',3.5,6.0,AV,X,12.1,8.9,10.7,26.0,250
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6.0,A6,E,18.9,12.9,16.2,17.0,259
KIA,RIO,COMPACT,1.6,4.0,M6,X,8.7,6.4,7.7,37.0,177
HONDA,'Civic Hatchback Sport',FULL-SIZE,1.5,4.0,M6,Z,8.0,6.2,7.2,39.0,167
FORD,'TAURUS AWD',FULL-SIZE,3.5,,AS6,X,13.7,9.4,11.8,24.0,271
MERCEDES-BENZ,'E 300 4MATIC',MID-SIZE,3.5,6.0,,Z,11.9,8.2,10.2,28.0,235
BMW,M2,SUBCOMPACT,3.0,6.0,M6,,13.1,9.2,11.4,25.0,267
DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A5,X,13.2,8.7,11.2,25.0,258
BMW,'640i xDRIVE CABRIOLET',SUBCOMPACT,3.0,6.0,AS8,Z,12.3,8.4,10.5,27.0,248
HYUNDAI,Palisade,'SUV - STANDARD',3.8,6.0,AS8,X,11.9,8.8,10.5,27.0,250
MERCEDES-BENZ,'B 250 4MATIC',MID-SIZE,2.0,4.0,AS7,Z,10.0,7.5,8.9,32.0,206
GMC,'YUKON FFV','SUV - STANDARD',5.3,8.0,A6,X,15.1,10.4,13.0,22.0,305
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4.0,A9,X,11.2,,9.8,29.0,230
VOLKSWAGEN,CC,COMPACT,2.0,4.0,A6,Z,11.1,7.9,9.7,29.0,223
HYUNDAI,Elantra,MID-SIZE,1.6,4.0,AM7,X,8.9,7.0,8.1,35.0,192
MINI,'COOPER 5 DOOR',SUBCOMPACT,1.5,3.0,,Z,8.7,6.8,7.9,36.0,184
JAGUAR,'F-TYPE Coupe',TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22.0,296
JEEP,'Wrangler JL Unlimited 4X4','SUV - SMALL',3.6,6.0,A8,X,12.9,10.2,11.7,24.0,275
VOLKSWAGEN,'GOLF WAGON TDI (modified)','STATION WAGON - SMALL',2.0,4.0,M6,D,,6.0,,39.0,196
INFINITI,Q70,MID-SIZE,3.7,6.0,AS7,Z,12.8,8.9,11.0,26.0,253
MITSUBISHI,'RVR 4WD',,2.0,4.0,AV6,X,9.8,8.0,9.0,31.0,207
DODGE,'CHALLENGER (MDS)',MID-SIZE,5.7,8.0,A8,X,14.7,9.4,12.3,23.0,289
TOYOTA,'TACOMA 4WD','PICKUP TRUCK - SMALL',2.7,4.0,A4,X,13.1,11.3,12.3,23.0,283
HYUNDAI,'GENESIS AWD',FULL-SIZE,5.0,8.0,AS8,Z,17.3,10.5,14.2,20.0,327
TOYOTA,'RAV4 LIMITED AWD','SUV - SMALL',2.5,4.0,AS6,X,10.6,8.2,,30.0,218
CHEVROLET,'SUBURBAN 4WD FFV','SUV - STANDARD',5.3,8.0,A6,X,15.3,10.9,13.3,21.0,312
INFINITI,'Q50 HYBRID AWD',COMPACT,3.5,6.0,AS7,Z,9.1,7.7,8.5,33.0,200
'ALFA ROMEO',4C,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34.0,197
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,X,13.7,8.7,11.5,25.0,264
DODGE,DART,MID-SIZE,2.4,4.0,M6,X,10.5,6.7,8.8,32.0,202
CHEVROLET,'Blazer AWD','SUV - SMALL',3.6,,A9,X,13.1,9.4,11.4,25.0,269
PORSCHE,'911 CARRERA CABRIOLET',MINICOMPACT,3.0,6.0,M7,Z,12.0,8.2,10.3,27.0,241
KIA,NIRO,'STATION WAGON - SMALL',1.6,,AM6,X,4.6,5.1,4.8,59.0,114
TOYOTA,TACOMA,'PICKUP TRUCK - SMALL',2.7,4.0,M5,X,11.3,,10.2,28.0,235
MITSUBISHI,RVR,'SUV - SMALL',2.0,4.0,M5,X,,8.0,,30.0,214
RAM,'1500 4X4 (MDS)','PICKUP TRUCK - STANDARD',5.7,8.0,A6,X,17.7,12.7,15.4,18.0,362
JEEP,,'SUV - SMALL',3.2,6.0,A9,X,11.6,8.6,10.3,27.0,241
KIA,'Sorento AWD','SUV - SMALL',3.3,6.0,AS8,X,12.3,9.5,11.1,25.0,261
TOYOTA,'RAV4 LE/XLE','SUV - SMALL',2.5,4.0,AS6,X,10.0,7.6,8.9,32.0,205
BMW,'330i xDRIVE GRAN TURISMO',FULL-SIZE,2.0,4.0,AS8,Z,10.5,7.4,9.1,31.0,213
BMW,'M240i COUPE',SUBCOMPACT,3.0,6.0,AS8,Z,11.1,7.8,9.6,29.0,224
RAM,'ProMaster City','SPECIAL PURPOSE VEHICLE',2.4,4.0,A9,X,11.2,8.3,9.9,29.0,232
BMW,'Z4 sDrive30i',TWO-SEATER,2.0,4.0,AS8,Z,9.5,7.4,8.5,33.0,200
BUICK,VERANO,COMPACT,2.0,4.0,AS6,Z,11.4,7.9,9.8,29.0,231
FORD,'TRANSIT CONNECT TAXI','SPECIAL PURPOSE VEHICLE',1.6,4.0,AS6,X,,8.3,10.1,28.0,232
FORD,'F-150 (Payload Pkg)','PICKUP TRUCK - STANDARD',2.7,6.0,AS10,X,12.4,9.4,11.1,25.0,260
'ASTON MARTIN',VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.6,11.4,,19.0,340
INFINITI,'Q50 HYBRID AWD',COMPACT,3.5,6.0,AS7,Z,9.1,7.7,8.5,33.0,200
GMC,'Sierra 4WD','PICKUP TRUCK - STANDARD',4.3,6.0,A6,X,15.8,11.9,14.0,20.0,329
KIA,,MID-SIZE,2.0,4.0,M6,X,9.8,6.9,8.5,33.0,198
PORSCHE,'PANAMERA TURBO S EXECUTIVE',FULL-SIZE,4.8,8.0,AM7,Z,15.4,9.8,12.9,22.0,297
HYUNDAI,'ELANTRA GT',MID-SIZE,2.0,4.0,M6,X,9.8,6.9,8.5,33.0,196
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.9,11.4,25.0,266
SUBARU,'CROSSTREK AWD','SUV - SMALL',2.0,4.0,M6,X,10.5,8.1,9.4,30.0,220
FORD,FIESTA,SUBCOMPACT,1.6,4.0,M5,X,8.6,6.4,7.6,,175
AUDI,A8L,FULL-SIZE,4.0,8.0,AS8,Z,13.1,8.3,10.9,26.0,255
CHEVROLET,EQUINOX,'SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209
CHEVROLET,COLORADO,'PICKUP TRUCK - SMALL',2.5,4.0,A6,X,12.0,9.2,10.7,26.0,252
SUBARU,WRX,COMPACT,2.5,4.0,M6,Z,13.8,10.2,12.2,23.0,281
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.3,6.0,AS6,E,16.6,12.6,14.8,19.0,245
MAZDA,'MAZDA3 4-DOOR',COMPACT,2.5,4.0,AS6,X,8.4,6.1,7.4,38.0,173
HONDA,HR-V,'SUV - SMALL',1.8,4.0,AV7,X,8.3,6.7,7.6,37.0,177
BMW,'X4 M40i','SUV - SMALL',3.0,6.0,AS8,Z,12.7,9.1,11.1,25.0,260
FORD,'ESCAPE AWD','SUV - SMALL',1.5,4.0,AS6,X,10.7,8.3,9.6,29.0,226
PORSCHE,BOXSTER,TWO-SEATER,2.0,4.0,AM7,Z,10.5,8.0,9.4,30.0,219
JEEP,'COMPASS 4X4','SUV - SMALL',2.4,4.0,A6,X,11.4,8.7,10.2,28.0,235
CHEVROLET,EQUINOX,'SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209
LAMBORGHINI,'HURACAN SPYDER',TWO-SEATER,5.2,10.0,AM7,Z,16.9,11.8,14.6,19.0,340
JAGUAR,'XJR  LWB',FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.3,13.3,21.0,313
'LAND ROVER','Range Rover Sport TD6 Diesel','SUV - STANDARD',3.0,6.0,AS8,D,10.7,8.3,9.6,29.0,256
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6.0,A5,E,18.7,12.4,15.9,18.0,264
INFINITI,'QX60 HYBRID AWD','SUV - STANDARD',2.5,4.0,AV7,X,8.9,8.4,8.7,32.0,200
VOLKSWAGEN,'Atlas 4MOTION','SUV - STANDARD',3.6,6.0,AS8,X,13.8,10.2,12.2,23.0,286
HONDA,FIT,'STATION WAGON - SMALL',1.5,4.0,AV,X,7.0,5.9,,43.0,151
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.9,11.4,25.0,266
AUDI,'A5 CABRIOLET QUATTRO',,,4.0,AS8,Z,11.3,8.0,9.8,,230
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2.0,4.0,M6,D,7.6,5.5,6.7,42.0,179
CADILLAC,'Escalade 4WD','SUV - STANDARD',6.2,8.0,A10,Z,16.6,10.9,14.0,20.0,328
MAZDA,'MAZDA6 (i-ELOOP)',MID-SIZE,2.5,4.0,AS6,X,8.4,5.9,7.3,39.0,168
MERCEDES-BENZ,'AMG GT C COUPE',TWO-SEATER,4.0,8.0,AM7,Z,15.5,11.7,13.8,20.0,322
BMW,'X1 xDRIVE28i','SUV - SMALL',2.0,4.0,AS8,Z,10.7,,9.3,30.0,217
CHEVROLET,Trax,'SUV - SMALL',1.4,4.0,AS6,X,9.1,7.6,8.4,34.0,196
'LAND ROVER','Range Rover 5.0 Supercharged LWB','SUV - STANDARD',5.0,8.0,AS8,Z,14.4,11.3,13.0,22.0,305
'ALFA ROMEO','4C Spider',TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34.0,197
BMW,'M240i COUPE',SUBCOMPACT,3.0,6.0,AS8,Z,11.1,7.8,9.6,29.0,224
PORSCHE,'911 CARRERA CABRIOLET',MINICOMPACT,3.4,6.0,M7,Z,12.3,8.7,10.7,26.0,246
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6.0,A6,X,14.2,9.5,12.1,23.0,284
GMC,Canyon,'PICKUP TRUCK - SMALL',2.8,4.0,A6,D,11.8,7.9,10.1,28.0,270
INFINITI,'Q60 AWD',SUBCOMPACT,3.0,,AS7,Z,12.3,8.7,10.7,26.0,251
LEXUS,'LX 570','SUV - STANDARD',5.7,8.0,AS6,Z,19.0,13.6,16.6,17.0,382
LINCOLN,'CONTINENTAL AWD',FULL-SIZE,3.0,6.0,AS6,X,14.4,9.7,12.3,23.0,288
HYUNDAI,Elantra,MID-SIZE,1.6,,M6,X,10.7,7.8,9.4,30.0,221
JEEP,'CHEROKEE 4X4 ACTIVE DRIVE II','SUV - SMALL',3.2,6.0,A9,X,12.8,9.0,11.1,25.0,259
HYUNDAI,,COMPACT,1.6,4.0,M6,X,9.7,7.0,8.5,33.0,196
AUDI,'TT ROADSTER QUATTRO',TWO-SEATER,2.0,4.0,AM6,Z,10.4,7.7,9.2,31.0,212
TOYOTA,'Tacoma 4WD','PICKUP TRUCK - SMALL',3.5,6.0,AS6,X,13.0,10.5,11.9,24.0,278
LEXUS,'ES 350 F SPORT',MID-SIZE,3.5,6.0,AS8,X,10.9,7.5,9.4,30.0,219
INFINITI,'QX70 AWD','SUV - SMALL',5.0,8.0,AS7,Z,16.6,,14.5,19.0,334
INFINITI,Q70,MID-SIZE,3.7,6.0,AS7,Z,12.8,8.9,11.0,26.0,253
JEEP,COMPASS,'SUV - SMALL',2.0,4.0,A6,X,11.1,8.3,9.8,29.0,225
CHEVROLET,'SUBURBAN 4WD FFV','SUV - STANDARD',5.3,8.0,A6,X,15.3,10.9,13.3,21.0,312
MERCEDES-BENZ,'ML 350 BLUETEC 4MATIC','SUV - STANDARD',3.0,6.0,AS7,D,11.8,8.5,10.3,27.0,278
JAGUAR,'F-TYPE SVR AWD Coupe',TWO-SEATER,5.0,8.0,AS8,Z,15.2,9.8,12.7,22.0,299
AUDI,'TT ROADSTER QUATTRO',TWO-SEATER,2.0,4.0,AM6,X,10.1,7.8,9.1,31.0,209
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5.0,8.0,AS10,X,15.1,11.6,13.5,21.0,317
KIA,Sportage,'SUV - SMALL',2.4,4.0,AS6,X,10.3,7.8,9.2,31.0,218
VOLVO,'V60 T5 AWD','STATION WAGON - SMALL',2.0,4.0,AS8,X,11.0,8.1,9.7,29.0,226
CHEVROLET,'Suburban FFV','SUV - STANDARD',5.3,8.0,A6,E,21.2,13.9,17.9,16.0,298
BENTLEY,'CONTINENTAL GT CONVERTIBLE',SUBCOMPACT,4.0,8.0,AS8,Z,17.7,10.3,14.4,20.0,337
HONDA,'Civic Coupe',COMPACT,1.5,4.0,AV7,X,7.8,6.4,7.2,39.0,167
HONDA,ACCORD,MID-SIZE,3.5,6.0,AS6,X,11.4,7.3,9.6,29.0,221
BMW,'428i xDRIVE GRAN COUPE',COMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209
MASERATI,'Ghibli S',MID-SIZE,3.0,6.0,AS8,Z,14.1,9.8,12.2,23.0,286
BENTLEY,'Continental GT',COMPACT,6.0,12.0,AM8,Z,19.0,11.6,15.7,18.0,364
MERCEDES-BENZ,'GLA 250 4MATIC','SUV - SMALL',2.0,4.0,AS7,Z,9.8,7.4,8.7,32.0,200
SUBARU,'IMPREZA WAGON AWD','STATION WAGON - SMALL',2.5,4.0,M5,Z,12.6,9.5,11.2,25.0,258
PORSCHE,'911 TARGA 4',MINICOMPACT,3.4,6.0,M7,Z,12.9,9.0,11.1,25.0,255
FORD,'F-150 4X4 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',3.0,6.0,AS10,D,11.8,9.3,10.7,26.0,287
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.5,6.0,A6,X,13.2,9.7,11.6,24.0,272
CHEVROLET,Traverse,'SUV - STANDARD',3.6,6.0,A9,X,13.0,8.8,11.1,25.0,261
CHEVROLET,'SONIC 5','STATION WAGON - SMALL',1.8,4.0,AS6,X,9.6,6.7,8.3,34.0,195
MASERATI,GHIBLI,MID-SIZE,3.0,6.0,AS8,Z,14.1,9.8,12.4,23.0,286
VOLKSWAGEN,'GOLF TDI (modified)',COMPACT,2.0,4.0,AM6,D,7.6,5.5,6.5,43.0,177
NISSAN,VERSA,COMPACT,1.6,4.0,M5,X,8.6,6.5,7.7,37.0,177
BMW,'M4 COUPE',COMPACT,3.0,6.0,AM7,Z,14.0,9.7,12.1,23.0,284
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4.0,8.0,AM7,Z,14.5,10.8,12.8,22.0,302
